客	9300
宣	10042
室	4988
宥	2
宦	41
宪	1792
宫	1640
宬	2
宰	462
害	5346
宴	781
宵	163
家	82194
宸	82
容	7832
宽	2032
宾	2390
宿	988
箓	1
箐	18
算	7206
箔	23
箕	18
简	6600
箅	5
箍	16
箱	1483
箴	26
箸	1
箢	1
管	25706
箧	1
箪	3
箫	11
箩	18
箭	590
乃	1085
鼋	1
	1
	2
魁	273
魃	3
魂	883
魅	458
魄	338
魇	4
魆	2
魉	1
憔	22
魏	822
魑	1
憎	45
憋	77
魔	254
憾	539
憷	12
憬	79
憩	45
憨	103
憧	80
6	976
鈢	2
计	22393
讣	2
订	3210
讥	57
认	19731
讧	8
讦	1
让	8105
讨	6023
讫	8
讪	11
训	6443
讯	14911
议	31338
记	38579
讳	167
讲	10787
讴	182
讷	57
讶	128
讹	42
许	11924
论	20281
讽	120
讼	675
访	13886
设	44092
屙	1
属	5264
屑	102
屐	5
展	66550
屉	33
屈	627
屋	1426
届	9974
屏	936
屎	29
屁	51
局	21606
层	8348
居	7404
屹	116
屺	51
屿	275
山	24650
屯	269
屡	518
屠	526
屣	4
	1
獯	1
獭	9
獬	1
獠	6
獾	5
獚	1
獐	5
獗	132
唳	3
唰	2
唱	2914
唶	4
唵	1
唾	48
唿	4
唢	20
唠	48
唧	14
唤	813
售	5862
唯	1918
唬	19
唐	2519
唑	8
唔	2
唛	1
唁	55
唆	20
唇	106
唉	35
唏	13
絜	20
絮	153
w	1
櫂	1
櫘	1
櫕	1
櫥	2
苛	92
苞	49
苟	138
苜	4
苒	12
苓	63
苑	206
苗	1480
苔	27
苕	14
苋	1
苈	1
苎	18
苏	6640
苌	7
苍	640
苁	1
苇	81
苄	5
苹	600
英	11432
苷	12
苴	1
苫	7
苯	82
苣	2
苡	4
苦	6710
苤	1
若	2342
愠	3
愣	78
飏	1
风	18085
愧	526
愦	1
愫	24
飚	19
飙	20
飘	848
食	8493
飞	6234
飓	36
飒	22
飕	14
愁	401
愀	2
飨	27
愆	1
愉	430
愈	987
飧	1
意	27130
愎	7
愕	29
愚	437
感	14113
	1
	1
嬉	68
	1
	1
	1
嬗	23
	1
	4
	1
	3
	1
	3
	1
嬿	6
嬴	3
稔	18
稗	4
稜	6
稞	38
稚	175
稀	685
稂	1
稍	463
税	7683
程	24145
稷	93
稳	8319
稼	480
稽	253
稿	1322
稹	4
稻	1314
稠	40
稣	11
口	18273
叠	300
另	4162
句	2036
古	8897
叫	2396
只	15777
叩	80
叨	57
可	32525
仄	22
叭	110
召	5110
右	3096
史	13917
叱	20
台	18945
号	7086
叶	3525
叵	11
叴	1
叻	18
叹	721
司	23015
叽	19
叼	15
参	17087
叁	2
叇	2
叆	2
友	13228
及	23511
叉	278
栲	3
反	15336
双	11799
栽	857
发	103671
受	17515
取	22313
叔	600
叛	195
叙	1563
变	16404
叟	12
班	8012
栾	68
珩	41
珪	4
今	34098
珠	1639
珣	2
核	6469
珺	117
珲	7
珍	2215
珏	23
珉	33
珈	3
珊	297
珅	1
珀	40
珂	89
珞	20
珙	8
珑	42
珐	1
株	724
栗	141
栖	171
栅	48
栃	1
栎	6
d	1
栈	62
鎔	2
鎏	14
	1
鎯	3
蠊	1
蠓	1
蠖	8
蠕	15
蠢	45
蠡	25
蠹	9
蠼	2
橘	55
橙	109
橇	16
橄	104
鼓	3986
橱	76
橹	8
橡	240
荜	5
荞	17
荟	123
荚	6
荔	149
荐	531
荒	2127
荏	12
草	5318
荆	293
荀	36
作	98864
荃	15
荼	42
荽	1
荸	1
荻	64
荷	1179
药	5861
荨	2
荩	3
荪	14
荫	202
荤	12
荥	11
荦	5
荧	196
荠	7
荡	1010
荣	8004
咱	530
咳	74
咽	178
咿	19
咸	239
咤	19
咦	5
咧	35
咣	2
咬	289
咯	28
咨	994
咩	7
咪	18
咫	32
咔	15
咕	56
咖	184
咐	111
咒	21
咝	4
咙	18
咚	73
咛	22
咄	100
咆	38
咀	73
咂	8
和	163303
咎	69
咏	175
咋	141
磁	487
	2
	1
	2
Ⅲ	18
Ⅳ	1
Ⅰ	16
Ⅱ	44
旁	1120
	1
	1
媚	194
媛	197
	1
旃	2
媒	1403
媾	9
媸	1
媲	61
媳	262
窟	174
窜	182
窝	665
窘	76
窖	143
窗	1650
窕	3
窒	47
窑	349
窍	64
窈	3
窆	1
窄	231
窃	619
突	7709
窿	26
窸	3
磐	33
窬	1
窨	8
窦	82
磕	49
窥	67
窣	3
窠	16
骥	60
磙	1
磡	1
磬	4
	1
磴	2
骆	149
骋	82
披	510
抨	121
抬	558
抢	2746
抡	26
抠	63
报	49878
护	12884
抻	5
抹	246
抿	5
抽	1647
押	694
抱	1150
抵	2693
把	23287
抉	80
技	33511
抄	236
顽	764
抚	664
顿	4551
顾	4995
项	20743
顸	1
须	8472
顺	4101
页	905
抒	275
抑	583
顶	1761
抗	5004
抖	181
投	16571
抔	4
沃	673
沂	360
沁	109
沆	7
沅	86
沉	2051
沈	2090
沏	7
沌	32
沓	118
沐	123
沕	2
沔	19
