耀	yao4
崴	wai3 wei1

憷	chu4

舶	bo2

涿	zhuo1

廉	lian2

慌	huang1

藏	cang2 zang4

迓	ya4

浔	xun2

幞	fu2

荠	ji4

蕤	rui2

滩	tan1

轨	gui3

叫	jiao4

郭	guo1

扶	fu2

蛹	yong3

摺	zhe2

湾	wan1

邂	xie4

善	shan4

骆	luo4

很	hen3

漓	li2

袒	tan3

蜣	qiang1

斤	jin1

栽	zai1

烂	lan4

奇	ji1

鹉	wu3

糊	hu1 hu2 hu4

体	ti1 ti3

棒	bang4

豕	shi3

埘	shi2

筛	shai1

姜	jiang1

俨	yan3

镯	zhuo2

崆	kong1

涑	su4

谐	xie2

岛	dao3

礞	meng2

产	chan3

嘬	chuai4 zhuai4 zuo1

犯	fan4

碳	tan4

娴	xian2

治	zhi4

茺	chong1

晌	shang3

苏	su1

汐	xi1

啖	dan4

遘	gou4

博	bo2

鹜	wu4

表	biao3

韭	jiu3

煮	zhu3

壳	ke2 qiao4

署	shu3

追	zhui1

咀	ju3 zui3

搋	chuai1

戏	hu1 xi4

栓	shuan1

阗	tian2

护	hu4

梨	li2

眭	sui1

鲰	zou1

镁	mei3

偃	yan3

濒	bin1

恣	zi4

鑫	xin1

孵	fu1

璁	cong1

销	xiao1

将	jiang1 jiang4 qiang1

碉	diao1

邙	mang2

麝	she4

蒡	bang4

芥	gai4 jie4

侧	ce4 ze4 zhai1

氦	hai4

疫	yi4

横	heng2 heng4

圬	wu1

环	huan2

逮	dai3 dai4

禳	rang2 rang3

鸲	qu2

嬴	ying2

枷	jia1

似	shi4 si4

殿	dian4

畀	bi4

杌	wu4

菏	he2

呖	li4

烙	lao4 luo4

绝	jue2

塞	sai1 sai4 se4

拥	yong1

荤	hun1 xun1

可	ke3 ke4

喀	ka1

厄	e4

缇	ti2

妈	ma1

骊	li2

候	hou4

熘	liu1

帝	di4

鬟	huan2

榨	zha4

瘭	biao1

元	yuan2

盂	yu2

铖	cheng2

飞	fei1

镫	deng4

矬	cuo2

山	shan1

婵	chan2

阀	fa2

萌	meng2

榕	rong2

焚	fen2

墟	xu1

笞	chi1

让	rang4

听	ting1

炯	jiong3

窳	yu3

撷	xie2

溻	ta1

癀	huang2

鳇	huang2

蛋	dan4

俑	yong3

桔	jie2 ju2

珙	gong3

党	dang3

囫	hu2

闭	bi4

菹	zu1

任	ren2 ren4

跽	ji4

簇	cu4

龆	tiao2

馊	sou1

怏	yang4

莎	sha1 suo1

匙	chi2 shi5

粜	tiao4

舣	yi3

谧	mi4

甭	beng2

钬	huo3

厮	si1

缱	qian3

挹	yi4

芸	yun2

洽	qia4

剃	ti4

痂	jia1

魉	liang3

揎	xuan1

瑗	yuan4

勘	kan1

扣	kou4

迦	jia1

啭	zhuan4

影	ying3

绰	chao1 chuo4

驳	bo2

磴	deng4

衿	jin1

需	xu1

炅	gui4 jiong3

鄄	juan4

帆	fan1

鬈	qian2 quan2

蔌	su4

瀚	han4

稞	ke1

肥	fei2

株	zhu1

唬	hu3 xia4

头	tou2

訾	zi1 zi3

着	zhao1 zhao2 zhe5 zhuo2

嫉	ji2

蟋	xi1

敌	di2

仑	lun2

诓	kuang1

楔	xie1

狙	ju1

做	zuo4

蝠	fu2

书	shu1

铭	ming2

凯	kai3

牮	jian4

晶	jing1

恺	kai3

猃	xian3

守	shou3

颊	jia2

意	yi4

芎	xiong1

锗	zang1 zhe3

则	ze2

尝	chang2

货	huo4

莸	you2

氽	tun3

趼	jian3

千	qian1

嵇	ji1

细	xi4

磊	lei3

拎	ling1

变	bian4

祟	sui4

捣	dao3

酯	zhi3

翰	han4

揸	zha1

轻	qing1

淼	miao3

西	xi1

禁	jin1 jin4

儆	jing3

圊	qing1

枕	zhen3

缚	fu4

欢	huan1

愦	kui4

未	wei4

纯	chun2

嘴	zui3

褶	zhe3

悻	xing4

础	chu3

鳃	sai1

必	bi4

嗉	su4

恐	kong3

蓓	bei4

晔	ye4

奖	jiang3

早	zao3

士	shi4

絮	xu4

哳	zha1

韵	yun4

跹	xian1

潺	chan2

菽	shu1

墀	chi2

庄	zhuang1

栋	dong4

搓	cuo1

莒	ju3

粘	zhan1

逛	guang4

匝	za1

队	dui4

谣	yao2

伥	chang1

焱	yan4

邰	tai2

眵	chi1

洹	huan2

挽	wan3

镉	ge2

乏	fa2

腑	fu3

插	cha1

穗	sui4

询	xun2

令	ling2 ling3 ling4

执	zhi2

蟪	hui4

共	gong1 gong4

直	zhi2

泸	lu2

虿	chai4

锈	xiu4

宗	zong1

砖	zhuan1

军	jun1

羯	jie2

疳	gan1

殷	yan1 yin1 yin3

踺	jian4

壁	bi4

祀	si4

罄	qing4

哉	zai1

畈	fan4

觋	xi2

歌	ge1

藓	li4 xian3

糙	cao1

滥	lan4

蕨	jue2

髭	zi1

嗳	ai3 ai4

牲	sheng1

桶	tong3

骂	ma4

径	jing4

喈	jie1

椋	liang2

漏	lou4

芒	mang2 wang2

初	chu1

责	ze2

严	yan2

茧	jian3

劲	jin4 jing4

瘵	zhai4

鞴	bei4

趸	dun3

人	ren2

戽	hu4

莼	chun2

鹅	e2

升	sheng1

益	yi4

住	zhu4

拒	ju4

铞	diao4

浣	huan4

饫	yu4

镳	biao1

匆	cong1

阈	yu4

榍	xie4

伎	ji4

舐	shi4

龙	long2

力	li4

计	ji4

到	dao4

吴	wu2

丸	wan2

抻	chen1

贺	he4

蜾	guo3

巅	dian1

郇	huan2 xun2

桌	zhuo1

摔	shuai1

鹘	gu3 hu2

坞	wu4

毡	zhan1

柩	jiu4

置	zhi4

煲	bao1

闵	min3

迹	ji1

松	song1

氏	shi4 zhi1

辎	zi1

易	yi4

炜	wei3

檠	qing2

踣	bo2

耧	lou2

暨	ji4

微	wei1

冲	chong1 chong4

电	dian4

钴	gu3

肼	jing3

魁	kui2

假	jia3 jia4

痊	quan2

荑	ti2 yi2

懒	lan3

硗	qiao1

瑟	se4

磬	qing4

危	wei1

狰	zheng1

啵	bo5

瓴	ling2

衷	zhong1

突	tu1

堂	tang2

分	fen1 fen4

吊	diao4

与	yu2 yu3 yu4

抑	yi4

撕	si1

妗	jin4

邝	kuang4

喟	kui4

侣	lv3

蚩	chi1

箫	xiao1

搪	tang2

瞳	tong2

榷	que4

伸	shen1

嫁	jia4

采	cai3 cai4

诋	di3

跏	jia1

捐	juan1

蟓	xiang4

给	gei3 ji3

赤	chi4

巯	qiu2

铵	an3

晾	liang4

缃	xiang1

颂	song4

钊	zhao1

帙	zhi4

锟	kun1

涤	di2

枨	cheng2

砭	bian1

爱	ai4

傲	ao4

陉	xing2

衍	yan3

祗	zhi1

忘	wang2 wang4

裢	lian2

慧	hui4

苦	ku3

靳	jin4

呵	a1 a2 a3 a4 a5 he1 ke1

痴	chi1

荻	di2

异	yi4

箅	bi4

唆	suo1

澍	shu4

踌	chou2

斑	ban1

舔	tian3

店	dian4

香	xiang1

功	gong1

讥	ji1

餮	tie4

炳	bing3

露	lou4 lu4

溷	hun4

贶	kuang4

抿	min3

籀	zhou4

寅	yin2

雇	gu4

凉	liang2 liang4

扔	reng1

孚	fu2

淡	dan4

闱	wei2

僳	su4

价	jia4 jie4 jie5

傈	li4

二	er4

夙	su4

碘	dian3

蘧	qu2

缭	liao2

由	you2

钰	yu4

垲	kai3

椹	shen4 zhen1

朽	xiu3

魅	mei4

酉	you3

珊	shan1

槎	cha2

瑛	ying1

档	dang4

迢	tiao2

菪	dang4

驯	xun2

卵	luan3

狴	bi4

曼	man4

市	shi4

吆	yao1

炉	lu2

刊	kan1

撑	cheng1

投	tou2

茔	ying2

得	de2 de5 dei3

簖	duan4

稚	zhi4

原	yuan2

肩	jian1

截	jie2

